学生; がくせい| uczeń
地下水; ちかすい| woda gruntowa
水平; すいへい | poziom
平日; へいじつ| dzień roboczy (dos. płaski)
材木; ざいもく| drewno (do budowy)
材; ざい| drewno
土木; どぼく| prace inzynieryjne
大木; たいぼく| wielkie drzewo

学校; がっこう| szkoła
スーパー| supermarket
駅; えき| stacja
飛行機; ひこうき| samolot
船; ふね| statek; łódź
電車; でんしゃ| pociąg
地下鉄; ちかてつ| metro
新幹線; しんかんせん| shinkansen
バス| autobus
タクシー| taxi
自転車; じてんしゃ| rower
あるいて| pieszo
友達; ともだち| przyjacie; kolega
一人で ; ひとりで| sam
彼氏; かれし| chłopak
彼女; かのじょ| dziewczyna
家族; かぞく| rodzina
誕生日; たんじょうび| urodziny; dzień urodzin
普通; ふつう| zwykły pociąg
急行; きゅうこう| pośpieszny (pociąg)
特急; とっきゅう| ekspres (pociąg)

日 #kanji| dzień; słońce; Japonia; licznik dni;Kun: ひ、-び、-か; On: ニチ、ジツ
月 #kanji| miesiąc; księyc; Kun: つき; On: ゲツ、ガツ
火 #kanji| ogień; Kun: ひ、-び、ほ-; On: カ
水 #kanji| woda (nie ciepła); Kun: みず、みず-; On: スイ
木 #kanji| drzewo, drewno; Kun: き、こ-; On: ボク、モク
